antecedent_id,consequent_id,support,confidence,lift,antecedent_name,consequent_name,antecedent_brand,consequent_brand,same_brand,antecedent_price,consequent_price,semantic_similarity
1519,1783,0.0008873114463176575,1.0,1127.0,Sữa Rửa Mặt Giảm Mụn Innisfree Jeju Bija Trouble Facial Foam 150ml,Sữa rữa mặt dịu nhẹ COSRX pH Good Morning Gel Cleanser,Innisfree,COSRX,False,125000.0,130000.0,-0.01699156515075094
481,577,0.0008873114463176575,1.0,1127.0,THANH LÝ 2 TUÝP SỮA RỬA MẶT POND'S ĐẤT SÉT 40g,Thanh lý sữa rửa mặt Pond’s 40g đất sét,no_brand,no_brand,True,11250.0,7500.0,0.5622371738585936
577,481,0.0008873114463176575,1.0,1127.0,Thanh lý sữa rửa mặt Pond’s 40g đất sét,THANH LÝ 2 TUÝP SỮA RỬA MẶT POND'S ĐẤT SÉT 40g,no_brand,no_brand,True,7500.0,11250.0,0.5622371738585936
2155,1629,0.0008873114463176575,1.0,1127.0,Sữa Rửa Mặt Chứa Axit Amin Hương Đào Tạo Bọt Nhẹ Nhàng Làm Sạch Dưỡng Ẩm Và Làm Trắng Bioaqua  Nội địa trung,Sữa rửa mặt trắng da IMAGES Nội địa Trung 150g,no_brand,Images,False,28000.0,31000.0,-0.08628394183561107
187,1678,0.0008873114463176575,1.0,1127.0,[Mẫu Mới Nhất 2022] Sữa Rửa Mặt Innisfree Jeju Volcanic Pore Cleansing Foam,[Mẫu Mới 2022] Sữa rửa mặt chiết xuất trà xanh Innisfree,Innisfree,Innisfree,True,153500.0,153500.0,-0.02074727801731426
1678,187,0.0008873114463176575,1.0,1127.0,[Mẫu Mới 2022] Sữa rửa mặt chiết xuất trà xanh Innisfree,[Mẫu Mới Nhất 2022] Sữa Rửa Mặt Innisfree Jeju Volcanic Pore Cleansing Foam,Innisfree,Innisfree,True,153500.0,153500.0,-0.02074727801731426
449,1491,0.0008873114463176575,1.0,1127.0,(25g) Sữa rửa mặt Acnes Baby Mud,Sữa rửa mặt Acnes 25g các loại( Size mini),Acnes,Acnes,True,5500.0,12000.0,0.4056871082488171
1629,2155,0.0008873114463176575,1.0,1127.0,Sữa rửa mặt trắng da IMAGES Nội địa Trung 150g,Sữa Rửa Mặt Chứa Axit Amin Hương Đào Tạo Bọt Nhẹ Nhàng Làm Sạch Dưỡng Ẩm Và Làm Trắng Bioaqua  Nội địa trung,Images,no_brand,False,31000.0,28000.0,-0.08628394183561107
601,1437,0.0008873114463176575,1.0,1127.0,Sữa Rửa Mặt Skin1004 Madagascar Centella Ampoule Foam Dưỡng Ẩm Và Làm Sạch Da 125ml,Sữa Rửa Mặt Rau Má Skin1004 Madagascar Centella Cleaning Foam 125ml,SKIN1004,SKIN1004,True,248000.0,229000.0,0.8349834210549413
1437,601,0.0008873114463176575,1.0,1127.0,Sữa Rửa Mặt Rau Má Skin1004 Madagascar Centella Cleaning Foam 125ml,Sữa Rửa Mặt Skin1004 Madagascar Centella Ampoule Foam Dưỡng Ẩm Và Làm Sạch Da 125ml,SKIN1004,SKIN1004,True,229000.0,248000.0,0.8349834210549413
