antecedent_id,consequent_id,support,confidence,lift,antecedent_name,consequent_name,antecedent_brand,consequent_brand,same_brand,antecedent_price,consequent_price,semantic_similarity
1165,1529,0.000826488971537786,0.8421052631578947,958.9597523219815,"Gel Rửa Mặt BHA Compliment No Problem 200ml Giảm Viêm, Mụn - Hàng Chính Hãng",Sữa rửa mặt trắng da The Face Shop Hàn Quốc White Seed Exfoliating Foam Cleanser 150ml dưỡng cấp ẩm sạch sâu,Compliment,The Faceshop,False,99000.0,184000.0,-0.020485493670749047
1529,1165,0.000826488971537786,0.9411764705882353,958.9597523219813,Sữa rửa mặt trắng da The Face Shop Hàn Quốc White Seed Exfoliating Foam Cleanser 150ml dưỡng cấp ẩm sạch sâu,"Gel Rửa Mặt BHA Compliment No Problem 200ml Giảm Viêm, Mụn - Hàng Chính Hãng",The Faceshop,Compliment,False,184000.0,99000.0,-0.020485493670749047
946,1357,0.0017562890645177953,0.918918918918919,508.2671814671815,SỬA RỬA MẶT CAO SÂM MẬT NHÂN,Sữa Rửa Mặt Sạch Sâu Ngừa Mụn Foaming Wash Fresh Dr Cell 150ml,no_brand,Dr Cell,False,199000.0,230000.0,-0.1334368379402252
1357,946,0.0017562890645177953,0.9714285714285714,508.26718146718144,Sữa Rửa Mặt Sạch Sâu Ngừa Mụn Foaming Wash Fresh Dr Cell 150ml,SỬA RỬA MẶT CAO SÂM MẬT NHÂN,Dr Cell,no_brand,False,230000.0,199000.0,-0.1334368379402252
309,3,0.0005165556072111163,0.5555555555555556,370.86206896551727,Bộ Quà Tặng Nam - Sữa tắm gội nam 350 ml & Sữa rửa mặt nam 100ml & Dung dịch vệ sinh 100ml RHYS MAN,Sữa rửa mặt nam RHYS MAN Rhys Coconut Fresh hương dừa thơm mát 100ml,RHYS MAN,RHYS MAN,True,389000.0,119000.0,0.38942617283831144
3,309,0.0005165556072111163,0.3448275862068966,370.86206896551727,Sữa rửa mặt nam RHYS MAN Rhys Coconut Fresh hương dừa thơm mát 100ml,Bộ Quà Tặng Nam - Sữa tắm gội nam 350 ml & Sữa rửa mặt nam 100ml & Dung dịch vệ sinh 100ml RHYS MAN,RHYS MAN,RHYS MAN,True,119000.0,389000.0,0.38942617283831144
54,3,0.0006198667286533395,0.5454545454545454,364.1191222570533,Sữa rửa mặt nam RHYS MAN hương dừa Rhys Coconut Fresh 100ml,Sữa rửa mặt nam RHYS MAN Rhys Coconut Fresh hương dừa thơm mát 100ml,RHYS MAN,RHYS MAN,True,99000.0,119000.0,0.8805782079254646
3,54,0.0006198667286533395,0.41379310344827586,364.1191222570533,Sữa rửa mặt nam RHYS MAN Rhys Coconut Fresh hương dừa thơm mát 100ml,Sữa rửa mặt nam RHYS MAN hương dừa Rhys Coconut Fresh 100ml,RHYS MAN,RHYS MAN,True,119000.0,99000.0,0.8805782079254646
107,246,0.0009298000929800093,0.43902439024390244,339.9629268292683,[XẢ KHO] Sữa rửa mặt Whoo vàng hoàng cung 40ml,[XẢ KHO] SỮA RỬA MẶT CẤP NƯỚC CHỐNG OXY HOÁ WHOO HỒNG 40ML,no_brand,no_brand,True,67000.0,79000.0,0.15965640429649317
246,107,0.0009298000929800093,0.72,339.96292682926827,[XẢ KHO] SỮA RỬA MẶT CẤP NƯỚC CHỐNG OXY HOÁ WHOO HỒNG 40ML,[XẢ KHO] Sữa rửa mặt Whoo vàng hoàng cung 40ml,no_brand,no_brand,True,79000.0,67000.0,0.15965640429649317
101,54,0.0005682111679322279,0.3333333333333333,293.3181818181818,Sữa rửa mặt nam RHYS MAN hương dừa thơm mát Rhys Coconut Fresh 100ml,Sữa rửa mặt nam RHYS MAN hương dừa Rhys Coconut Fresh 100ml,RHYS MAN,RHYS MAN,True,99000.0,99000.0,0.8744806148745794
54,101,0.0005682111679322279,0.5,293.3181818181818,Sữa rửa mặt nam RHYS MAN hương dừa Rhys Coconut Fresh 100ml,Sữa rửa mặt nam RHYS MAN hương dừa thơm mát Rhys Coconut Fresh 100ml,RHYS MAN,RHYS MAN,True,99000.0,99000.0,0.8744806148745794
101,3,0.0006715222893744512,0.3939393939393939,262.97492163009406,Sữa rửa mặt nam RHYS MAN hương dừa thơm mát Rhys Coconut Fresh 100ml,Sữa rửa mặt nam RHYS MAN Rhys Coconut Fresh hương dừa thơm mát 100ml,RHYS MAN,RHYS MAN,True,99000.0,119000.0,0.8735170381970209
3,101,0.0006715222893744512,0.4482758620689655,262.97492163009406,Sữa rửa mặt nam RHYS MAN Rhys Coconut Fresh hương dừa thơm mát 100ml,Sữa rửa mặt nam RHYS MAN hương dừa thơm mát Rhys Coconut Fresh 100ml,RHYS MAN,RHYS MAN,True,119000.0,99000.0,0.8735170381970209
2,52,0.000981455653701121,0.475,176.83701923076922,"Sữa rửa mặt nam 30Shine phân phối chính hãng Skin&dr Tràm trà 80g cho da mụn, da dầu, dưỡng ẩm trắng da",Sữa Rửa Mặt Cho Nam Skin&Dr Than Hoạt Tính 100g - Trắng da kiềm dầu,Skin&Dr	,Skin&Dr	,True,244000.0,179000.0,0.23551414342955224
52,2,0.000981455653701121,0.36538461538461536,176.83701923076922,Sữa Rửa Mặt Cho Nam Skin&Dr Than Hoạt Tính 100g - Trắng da kiềm dầu,"Sữa rửa mặt nam 30Shine phân phối chính hãng Skin&dr Tràm trà 80g cho da mụn, da dầu, dưỡng ẩm trắng da",Skin&Dr	,Skin&Dr	,True,179000.0,244000.0,0.23551414342955224
536,332,0.0005682111679322279,0.12643678160919541,116.55665024630542,Sữa Rửa Mặt Ziajaa Chiết Xuất Từ Lá Manuka Cho Da Dầu Mụn (bill ảnh tiếp),Sữa rửa mặt ziaja med xanh nội địa balan 200ml,ziaja,ziaja,True,109000.0,139000.0,0.3320595970010412
332,536,0.0005682111679322279,0.5238095238095238,116.55665024630541,Sữa rửa mặt ziaja med xanh nội địa balan 200ml,Sữa Rửa Mặt Ziajaa Chiết Xuất Từ Lá Manuka Cho Da Dầu Mụn (bill ảnh tiếp),ziaja,ziaja,True,139000.0,109000.0,0.3320595970010412
1383,593,0.0011364223358644558,0.46808510638297873,114.70455157554538,Sữa rửa mặt tạo bọt ma:nyo Pore Cleansing Soda Foam 150ml,Bộ Dụng Cụ Vệ Sinh Mano: 1000 Chuyên Dụng Chất Lượng Cao,ma:nyo,ma:nyo,True,350000.0,307500.0,0.43664584544478907
593,1383,0.0011364223358644558,0.27848101265822783,114.70455157554538,Bộ Dụng Cụ Vệ Sinh Mano: 1000 Chuyên Dụng Chất Lượng Cao,Sữa rửa mặt tạo bọt ma:nyo Pore Cleansing Soda Foam 150ml,ma:nyo,ma:nyo,True,307500.0,350000.0,0.43664584544478907
38,150,0.0006715222893744512,0.1780821917808219,95.76369863013699,Sữa Rửa Mặt 3W Clinic Mẫu Mới Hot,Sữa rửa mặt colagen,3W CLINIC,no_brand,False,22500.0,23000.0,-0.09034220271657865
150,38,0.0006715222893744512,0.3611111111111111,95.76369863013699,Sữa rửa mặt colagen,Sữa Rửa Mặt 3W Clinic Mẫu Mới Hot,no_brand,3W CLINIC,False,23000.0,22500.0,-0.09034220271657865
88,1380,0.0005682111679322279,0.13253012048192772,77.74698795180723,Sữa rửa mặt Kose Softymo Nhật Bản 220g,[NỘI ĐỊA NHẬT] Sữa rửa mặt Kose Softymo Nhật Bản 220g,no_brand,KOSÉ,False,74000.0,106000.0,0.5909387322875882
1380,88,0.0005682111679322279,0.3333333333333333,77.74698795180723,[NỘI ĐỊA NHẬT] Sữa rửa mặt Kose Softymo Nhật Bản 220g,Sữa rửa mặt Kose Softymo Nhật Bản 220g,KOSÉ,no_brand,False,106000.0,74000.0,0.5909387322875882
